texto de apresentação                link
home                                 index.html
acomodação                           acomodacao.html 
    suite double                     suitedouble.html
    suite master                     suitemaster.html 
    suite standard                   suitestandard.html
lazer                                lazer.html
gastronomia                          gastronomia.html
eventos                              eventos.html
reservas                             reservas.html
localização                          localizacao.html




